Team,Avg_Home_xg,Avg_Away_xg,Ranking,Points
Manchester City,2.136842105263158,2.1052631578947367,1,91
Arsenal,2.294736842105263,1.7210526315789476,2,89
Liverpool,2.884210526315789,1.736842105263158,3,82
Aston Villa,2.0526315789473686,1.2894736842105263,4,68
Tottenham,2.0631578947368423,1.5157894736842106,5,66
Chelsea,2.331578947368421,1.5894736842105264,6,63
Newcastle Utd,2.442105263157895,1.563157894736842,7,60
Manchester Utd,1.7,1.2789473684210526,8,60
West Ham,1.3842105263157896,1.3789473684210527,9,52
Crystal Palace,1.4421052631578948,1.1210526315789473,10,49
Brighton,1.6842105263157894,1.2947368421052632,11,48
Bournemouth,1.436842105263158,1.5105263157894737,12,48
Fulham,1.4631578947368422,1.2105263157894737,13,47
Wolves,1.2210526315789474,1.2526315789473685,14,46
Everton,1.6736842105263159,1.1421052631578947,15,40
Brentford,1.6157894736842107,1.4473684210526316,16,39
Nott'ham Forest,1.3157894736842106,1.3157894736842106,17,32
Luton Town,1.3578947368421053,0.868421052631579,18,26
Burnley,1.1842105263157894,0.9526315789473685,19,24
Sheffield Utd,1.2789473684210526,0.7526315789473684,20,16
